,public_key,bits,algorithm,time,memory_mb
289,"9,0108848079102E+017",60,Pollard Rho,0.0602767780001158,0.0003204345703125
290,"9,0108848079102E+017",60,Pollard p-1,1.0883946640024078,0.0797004699707031
291,"7,62359516876419E+018",64,Fermat,5.447693959002208,0.0002212524414062
292,"7,62359516876419E+018",64,Lenstra,4.019435463000264,0.0022010803222656
293,"7,62359516876419E+018",64,Pollard Rho,0.2043239359991275,0.0003280639648437
294,"9,22731958651449E+018",64,Fermat,18.685361361000105,0.0002212524414062
295,"9,22731958651449E+018",64,Lenstra,9.88463004300138,0.0022087097167968
296,"9,22731958651449E+018",64,Pollard Rho,0.4133196379989385,0.0003280639648437
297,"9,41286631449636E+018",64,Lenstra,10.877461060001224,0.0022087097167968
298,"9,41286631449636E+018",64,Pollard Rho,0.3170347780032898,0.0003280639648437
299,"9,41286631449636E+018",64,Pollard p-1,0.0004195540022919,0.0016021728515625
300,"9,63354189503803E+018",64,Fermat,13.597654021999915,0.0002212524414062
301,"9,63354189503803E+018",64,Lenstra,3.088258634998056,0.0021781921386718
302,"9,63354189503803E+018",64,Pollard Rho,0.1685155349987326,0.0003280639648437
303,"9,63354189503803E+018",64,Pollard p-1,40.74169236900343,0.3388938903808594
304,"1,0738519641632E+019",64,Fermat,7.013321300000825,0.0002212524414062
305,"1,0738519641632E+019",64,Lenstra,5.135839307004062,0.0022010803222656
306,"1,0738519641632E+019",64,Pollard Rho,0.3626939219975611,0.0003280639648437
307,"1,16706684813778E+019",64,Lenstra,13.723368116996426,0.0022125244140625
308,"1,16706684813778E+019",64,Pollard Rho,0.2481035270029679,0.0003280639648437
309,"1,16706684813778E+019",64,Pollard p-1,0.0666555649950169,0.0249366760253906
310,"1,25573517011638E+019",64,Fermat,0.261980595998466,0.0002212524414062
311,"1,25573517011638E+019",64,Lenstra,27.102068706000864,0.0023307800292968
312,"1,25573517011638E+019",64,Pollard Rho,0.2760420009944937,0.0003280639648437
313,"1,43310391368228E+019",64,Fermat,44.732711179000034,0.0002212524414062
314,"1,43310391368228E+019",64,Lenstra,43.55075070099701,0.0023269653320312
315,"1,43310391368228E+019",64,Pollard Rho,0.5860451299959095,0.0003280639648437
316,"1,4953398802535E+019",64,Fermat,28.785526071995264,0.0002250671386718
317,"1,4953398802535E+019",64,Lenstra,4.122516166004061,0.0023040771484375
318,"1,4953398802535E+019",64,Pollard Rho,0.3867175330015016,0.0003280639648437
319,"1,72956037836887E+019",64,Fermat,0.0071725210000295,0.0002212524414062
320,"1,72956037836887E+019",64,Lenstra,3.4078902429973823,0.0022430419921875
321,"1,72956037836887E+019",64,Pollard Rho,0.1412536970019573,0.0003280639648437
322,"1,72956037836887E+019",64,Pollard p-1,1.3044294840001385,0.0868263244628906
323,"1,02424518273592E+020",68,Fermat,28.249207493994614,0.0002250671386718
324,"1,02424518273592E+020",68,Lenstra,25.1608007169998,0.0023193359375
325,"1,02424518273592E+020",68,Pollard Rho,0.3901487010007258,0.0003280639648437
326,"1,05661569776694E+020",68,Lenstra,35.87840627699916,0.0023536682128906
327,"1,05661569776694E+020",68,Pollard Rho,0.5681797560027917,0.0003280639648437
328,"1,14216477245189E+020",68,Lenstra,37.67759777799802,0.0023155212402343
329,"1,14216477245189E+020",68,Pollard Rho,1.0267034270000297,0.0003280639648437
330,"1,21008097599334E+020",68,Lenstra,50.43198710899742,0.0023384094238281
331,"1,21008097599334E+020",68,Pollard Rho,0.3881841740003438,0.0003280639648437
332,"1,21008097599334E+020",68,Pollard p-1,0.0166511059942422,0.012298583984375
333,"1,38919442980423E+020",68,Lenstra,25.53224495999893,0.0024452209472656
334,"1,38919442980423E+020",68,Pollard Rho,0.927353637998749,0.0003280639648437
335,"1,51894158707967E+020",68,Fermat,4.99155857200094,0.0002212524414062
336,"1,51894158707967E+020",68,Lenstra,7.548141999999643,0.0023460388183593
337,"1,51894158707967E+020",68,Pollard Rho,0.5839998209994519,0.0003280639648437
338,"1,63274181481637E+020",68,Lenstra,11.917787029000465,0.0023460388183593
339,"1,63274181481637E+020",68,Pollard Rho,0.9253112560036244,0.0003280639648437
340,"1,79095754151705E+020",68,Lenstra,26.33283451599709,0.002410888671875
341,"1,79095754151705E+020",68,Pollard Rho,0.513153523002984,0.0003280639648437
342,"2,3546078424261E+020",68,Lenstra,10.23394213699794,0.0023231506347656
343,"2,3546078424261E+020",68,Pollard Rho,1.0182733530018595,0.0003280639648437
344,"2,52953746576606E+020",68,Fermat,46.20248443899618,0.0002212524414062
345,"2,52953746576606E+020",68,Pollard Rho,0.4518301930002053,0.0003280639648437
346,"2,28777082082324E+021",72,Fermat,27.89242894799827,0.0002250671386718
347,"2,28777082082324E+021",72,Lenstra,54.70557901199936,0.0024871826171875
348,"2,28777082082324E+021",72,Pollard Rho,1.842062834999524,0.0003280639648437
349,"2,31277091629717E+021",72,Pollard Rho,0.4313798029979807,0.0003280639648437
350,"2,5072628029463E+021",72,Lenstra,17.50927597500413,0.0024452209472656
351,"2,5072628029463E+021",72,Pollard Rho,0.5301749579957686,0.0003280639648437
352,"2,53548859319057E+021",72,Lenstra,53.04047061200254,0.0024337768554687
353,"2,53548859319057E+021",72,Pollard Rho,1.837972715999058,0.0003280639648437
354,"2,65661319702397E+021",72,Lenstra,21.212996028996717,0.0024490356445312
355,"2,65661319702397E+021",72,Pollard Rho,1.2384169030046903,0.0003280639648437
